Kilde,content,tokens
NRGI ERFAblade," © NRGI  11 Ventilation af tagkonstruktioner  Dato:  22-03-2023  
Revision:  
    
Ved alle huseftersyn skal det vurderes, om tagkonstruktionen bør være ventileret og i så fald, om den er 
ventileret korrekt.  
Husk på, at der er tagkonstruktioner der ikke skal være ventileret herunder:  
• Varme tage (hvor den bærende konstruktion er placeret på den varme side af konstruktionen).  
• Hvor der er anvendt dampbremse af Hygrodiode (se Best Practice vedr. Hygrodiode).  
• Hvor der er anvendt diffusionsåbent undertag, hvis der er tæt dampspærre og isolering er i tæt kontakt 
med undertag.  
 
Der skal foretages en konkret vurdering , ved hver enkelt ejendom , ud fra besigtigelsen og evt. 
baggrundsmateriale. Vi skal ikke ”opfinde” skader der ikke er der eller som betragtes som skjulte forhold. I 
f.eks. huse med loft til kip, hvor vi ikke kan vurdere om kon struktionen bør være ventileret eller om den er 
ventileret,  må vi antage, at konstruktionen er lavet korrekt. I SIK Vejledning 2 ”Skade og Vurdering” er følgende 
beskrevet:  
 
”Udgangspunktet for bygningseftersynet  
Den bygningssagkyndige må som udgangspunkt forudsætte, at de besigtigede bygninger er opført i 
overensstemmelse med god skik, dvs. både i overensstemmelse med god ”håndværksmæssig praksis” for det 
enkelte fag og i overensstemmelse med det ”almene tekniske fælleseje”. ” 
 
Ved manglende ve ntilation af tagkonstruktioner anvender vi hhv. GRÅ  og RØD  karakterisering, alt efter hvor 
kritisk vi vurderer forholdet, på den pågældende ejendom.   
Vær præcis i jeres skadesbeskrivelse. Beskriv de forhold der ligger til grund for den manglende ventilati on. Det 
er f.eks. ikke nok at skrive ”Ventilationen langs skråvægge vurderes utilstrækkelig” hvis der samtidig mangler 
ventilation ved tagfod og kip.  
 
Eksempel på GRÅ  vurdering:  
• Ved et 1 -planshus, hvor tagrum  og konstruktioner er synlige fra indvendig side, kan vi karakterisere 
skaden GRÅ , hvis vi ikke ser tegn på følgeskader og samtidig vurdere at skaden er mindre alvorlig uden 
nærliggende risiko for følgeskader.  
GRÅ  vurdering - fordi vi ved selvsyn kan se, at konstruktionen fungerer.  
 
Eksempler på RØD  vurdering:  
• Ved ejendomme med built -up tag, hvor konstruktionen ikke er synlig, hvor vi ikke kan se/konstaterer 
ventilationsspalter ved udhæng eller murkroner. Her karakteriseres manglende ventilation med RØD .  
RØD  vurdering – fordi vi kender risikoen og fordi vi IKKE ved selvsyn kan garantere, der ikke er 
følgeskader i den skjulte konstruktion.  
 
• Ved 1 ½ -planshuse, med skjulte konstruktioner, her tænkes især på skråvægskonstruktion. Her 
karakteriseres manglende ventilation med RØD .  
RØD  vurdering – fordi vi kender risikoen og fordi vi IKKE ved selvsyn kan garantere, der ikke er 
følgeskader i den skjulte konstruktion.  
 
• Ved alle ejendomme, hvor vi kan se tegn på følgeskader. Det kan være fugtspor og misfarvninger på 
f.eks. træværk eller undertag. Her karakteriseres manglende ventilation med RØD .  
RØD  vurdering – fordi vi ved selvsyn kan konstatere følgeskader.  
 
Når der er følgeskader, skal disse altid anføres som en selvstændig skade, f.eks. som herunder:  ",1127
NRGI ERFAblade," © NRGI  12 SKADE – GUL: 
Undertaget er med misfarvninger.  
 
RISIKO:  
Der er risiko for yderligere skadesudvikling.  
 
BEMÆRKNING:  
Forholdet vurderes, at skyldes manglende ventilation.  
 
Se i øvrigt nedenstående, hvor der kan findes nyttig viden om ventilation af tagkonstru ktioner:  
 
• SIK vejledning 2, Skade og Vurdering.  
• SIK vejledning om byggeskik og byggeteknik nr. 1 Tagkonstruktion.  
• BYG-ERFA (27)13 06 05 – Tagkonstruktioner med lille hældning - ventilation og fugtforhold.  
• BYG-ERFA (27)22 12 16 – Ventilation af tagkonstrukt ioner med hældning.  
 
Herunder nyttig  illustration fra BYG -ERFA (27)22 12 16 – Ventilation af tagkonstruktioner med hældning.  
 
 
 
 
 
 
 
 
",264
NRGI ERFAblade," © NRGI  13 Tagkonstruktion med stålplader og lav hældning  Dato:  11-05-2023  
Revision:  
    
Tagkonstruktioner der er udført med lav hældning  og stålplader  kræver altid opmærksomhed. Hvis 
konstruktionen så også er udført med isolering  og loft som på billeder herunder, kræver det skærpet 
opmærksomhed.  
 
  
  
Vi ser det ofte på baghuse, garager eller lignende som man ”lige” har inddraget i en del af beboelsen. Det er 
ikke en god konstruktion og det er en konstruktion der ofte medfører  fugtrelaterede  følgeskader  (vi har flere 
sager i KA -afdelingen).  
 
Opmærksomhedspunkter:  
- Stor koncentration af kondensdannelse på bagside  af plader  
- Manglende ventilation  
- Der er så meget kondens det ikke kan bortventileres før det drypper ned i konstruktionen  
- Ofte er konstruktionen åben i top af trapez, hvor det så kan regne ind i konstruktionen  
- For lav hældning  
- Buler, ujævnheder lunker  
- Utæt heder i forbindelse med overlæg eller skruemontage  
- Nedslidning, rust , tæring eller lignende  
➔ Listen kunne fortsætte og det er svært at forstille sig et eksempel, hvor konstruktionen virker.  
 
Herunder forslag til skadestekst  (teksten kunne sagtens udvides med beskrivelse af evt. synlige skader) . 
 
SKADE – RØD : 
Tagkonstruktion med stålplader er med lav hældning. Konstruktionen er udført med isolering og loft, hvilket er 
uhensigtsmæssigt pga. kondensdannelse på underside af stål plader  
 
RISIKO:  
Der er risiko for kondens / fugtophobning i konstruktionen, samt fugtrelaterede følgeskader.  
 
BEMÆRKNING:  
- 
 
  
",543
NRGI ERFAblade," © NRGI  14 YDERVÆGGE    
    
 
 
  ",16
NRGI ERFAblade," © NRGI  15 Værn  Dato:        02-12-2022  
Revision:   
 
    
Herunder krav til værn jf. BR18.  
 
§ 58  
Gange, trapper og ramper i fælles adgangsveje samt altaner, franske altandøre, altangange, luftsluser, 
tagterrasser, udvendige trapper samt andre hævede opholdsarealer, skal under hensyn til bygningens 
anvendelse sikres med værn og forsynes med håndlister.  Alle typer af værn eller rækværk skal under hensyn til 
bygningens anvendelse udformes, således at deres højde, udformning, frie åbninger i værnet mv. sikrer personer 
mod at falde ud over eller igennem dem. Bestemmelsen anses som opfyldt, når:  
 
1) Højden p å værn eller rækværker er mindst 1,0 m.  
 
2) Højden på værn ved trapper og ramper er mindst 0,80 m og over trappereposer er mindst 0,90 m.  
 
3) Højden på værn ved trapper med bredere lysning end 0,30 m, altangange og luftsluser er mindst 1,20 m.  
 
4) Højden p å værn skal måles over trinforkanter og ramper samt fra overkant af gulv/dæk.  
 
5) Håndlister skal være nemme at gribe om og holde fast i.  
 
§ 59  
Værn skal udføres, så den indbyrdes afstand mellem alle typer balustre, både lodrette og vandrette ikke giver 
anledning til personskader. I den forbindelse skal der i særlig grad tages hensyn til, at børn ikke må kunne klatre 
på værnet eller komme i klemme mellem balustre.  
 
Herunder eksempler på manglende værn, samt på værns udformning, der skal give anledning til s kærpet 
opmærksomhed og en RØD  skadesanmærkning i tilstandsrapporten.  Undersøg endvidere altid, om værnet er 
stabilt og forsvarligt fastgjort.  
 
Værn, hvor man kan klatre på værnet.  Værn  med for lav højde.  
  
 
 
 
 
  
 
 
 
 
",606
NRGI ERFAblade," © NRGI  16 Værn med for store åbninger og, hvor man kan klatre 
på værnet.  Manglende værn på udendørs trappe med mere end 
tre trin.  
  
  
Manglende værn ved fransk altandør.  Tilbygning med terrasse ovenpå. Der er etableret 
udgang til terrasse, men der mangler værn.  
  
  
 
 
  
",101
NRGI ERFAblade," © NRGI  17 VINDUER OG DØRE    
    
 
  ",18
NRGI ERFAblade," © NRGI  18 Redningsåbninger  Dato:        20-01-2022  
Revision:  02-02-2022  
    
Vi har forespurgt Sikkerhedsstyrelsen vedr. regler til redningsåbninger, hvis der i huset er installeret røgalarmer 
230 V med batteribackup. Sikkerhedsstyrelsen tilbagemelding er følgende:  
 
”Indledningsvis skal det oplyses, at Trafik -, Bygge - og Boligstyrelsen ikke kan forh olde sig til 
konkrete sager, og derfor alene udtaler sig vejledende og generelt om emner inden for 
byggelovgivningen. Den endelige fortolkning henhører under domstolene.  
Der stilles ikke længere krav til, at enfamiliehuse omfattet af dette bilag skal udfør es med 
redningsåbninger. Disse enfamiliehuse opnår et tilfredsstillende sikkerhedsniveau uden 
redningsåbninger, bl.a. fordi der for nybyggeri er indført tvungen opsætning af røgalarmanlæg, 
så personer får en tidlig varsling og kan forlade huset af de norma le adgangsdøre inden der 
opstår kritiske forhold.  
Det er dermed også Trafik -, Bygge - og Boligstyrelsen vurdering, at redningsåbninger til brug 
for personredning kan udelades i eksisterende byggeri, som i sin helhed opfylder 
retningslinjerne i bilag 1a, her under installering af røgalarmanlæg. Røgalarmanlæg skal 
udføres som angivet i BR18, samt i Bygningsreglementets vejledning til kapitel 5 – Brand, bilag 
12 vedr. brandtekniske installationer, hvor beskrivelsen og funktionskravene til røgalarmanlæg 
er angive t i afsnit 5.4.  
Det er Trafik -, Bygge - og Boligstyrelsen vurdering, at en byggesag vedr. lovliggørelse kan 
udføres, ved at der i enfamilieshuse opsættes forskriftsmæssigt røgalarmanlæg og dette 
dokumenteres jf. BR18 § 506. I denne forbindelse skal Trafik -, Bygge - og Boligstyrelsen dog 
gøre opmærksom på, at det er den enkelte kommune, der i henhold til byggelovens § 16C er 
bygningsmyndighed, og som derfor træffer konkret afgørelse i hver enkelt byggesag.  
Hvis ejer ændrer på sit enfamiliehus, kan dette jf. BR 18 §5, stk. 4 udføres uden 
byggetilladelse. Ejer skal dog jf. BR18 § 506 dokumentere ændringerne. Derfor skal der ved 
manglende redningsåbninger i byggeri udført efter tidligere bygningsreglementer end BR18, 
foreligge dokumentation for røgalarmanlæggets fu nktion, afprøvning og kontrol.”  
 
NRGI -konklusion:  
Da vi ikke, ved et almindeligt huseftersyn, kan vurdere om huset i sin helhed opfylder retningslinjerne i bilag 1a 
fortsætter vi med at give manglende redningsåbninger skadeskarakteren RØD . Dog med undtagelse af huse der 
er opført efter BR18 , hvor det må antages, at huset opfylder retningslinjerne i bilag 1a.  
 
 OBS 
Herunder uddrag fra Bilag 1a  
Præ-accepterede løsninger for fritliggende 
og sammenbyggede enfamiliehuse:  
 
Er redningsåbningen placeret t æt på 
terræn, dvs. højst 2,0 m over terræn, hvor 
risikoen for personskader i tilfælde af 
evakuering er minimal, vil det være 
forsvarligt at have en mindre højde på 
redningsåbningen. Disse redningsåbninger 
skal have en bredde og højde, som hver er 
mindst 0, 5 m, og summen af disse to skal 
mindst være 1,5 m.  
 
 
 
  
",1105
NRGI ERFAblade," © NRGI  19 Hældning på o venlysvinduer  Dato:        02-12-2022  
Revision:   
    
Vi oplever tekniske revisioner , klager og regressager vedr. ovenlys der er monteret med for lav hældning.  
 
I bedes være opmærksomme på forholdet og anføre det som en skade, ved udarbejdelse af tilstandsrapporter.  
 
Langt de fleste almindelige Velux vinduer må ikke monteres med en lavere hældning end 15o. Vær dog stadig 
opmærksom på, at der er enkelte Velux vind uer der er specielt udviklet til flade tage.  
 
Herunder fra en igangværende regressag, hvor Velux vinduer er monteret med for lav hældning og, hvor der nu, 
efter vores besigtigelse, er konstateret utætheder og vandindtrængning.  
 
  
  
  
  
Forhold som dette  registreres og anføres i tilstandsrapporten  som eksempel herunder.  
 
SKADE  – RØD : 
Ovenlysvinduer (placering)  har mindre taghældningen end foreskrevet af producenten (minimum 1 5 gr.). 
 
RISIKO:  
Den lave hældning giver risiko for fugtindtræng ning og derved følgeskader i underliggende konstruktion er. 
 
SKADE – GUL: 
Ovenlysvinduer (placering)  har mindre taghældningen end foreskrevet af producenten (minimum 1 5 gr.). 
 
RISIKO:  
Den lave hældning giver risiko for fugtindtrængning og derved følgeskader  i underliggende konstruktion er på 
længere sigt.  
 
  
",457
NRGI ERFAblade," © NRGI  20  
FUNDAMENTER/SOKLER    
    
 
  ",17
NRGI ERFAblade," © NRGI  21 KÆLDER/KRYBEKÆLDER/TERRÆNDÆK    
    
 
  ",30
